,ROI,Networks,t-value mean
133,7Networks_RH_SomMot_19,SOM,0.029066684539098973
134,7Networks_RH_DorsAttn_Post_1,DAN,0.6462205098166186
135,7Networks_RH_DorsAttn_Post_2,DAN,0.5649739911538764
136,7Networks_RH_DorsAttn_Post_3,DAN,0.07370425687341282
137,7Networks_RH_DorsAttn_Post_4,DAN,-0.22358191508538813
138,7Networks_RH_DorsAttn_Post_5,DAN,-0.03275362475587436
139,7Networks_RH_DorsAttn_Post_6,DAN,0.33111813958473146
140,7Networks_RH_DorsAttn_Post_7,DAN,-0.22896734915788766
141,7Networks_RH_DorsAttn_Post_8,DAN,0.02903341880016452
142,7Networks_RH_DorsAttn_Post_9,DAN,0.18941589217845786
143,7Networks_RH_DorsAttn_Post_10,DAN,0.2371628907196615
144,7Networks_RH_DorsAttn_FEF_1,DAN,0.018144689715287824
145,7Networks_RH_DorsAttn_FEF_2,DAN,-0.20283444293577468
146,7Networks_RH_DorsAttn_PrCv_1,DAN,0.4173267329473255
147,7Networks_RH_SalVentAttn_TempOccPar_1,SAL,0.2792608941362836
148,7Networks_RH_SalVentAttn_TempOccPar_2,SAL,0.14134269573595754
149,7Networks_RH_SalVentAttn_TempOccPar_3,SAL,0.06046490567976047
150,7Networks_RH_SalVentAttn_PrC_1,SAL,0.04683082134855519
151,7Networks_RH_SalVentAttn_FrOperIns_1,SAL,0.48431038748361177
152,7Networks_RH_SalVentAttn_FrOperIns_2,SAL,0.25428189389061273
153,7Networks_RH_SalVentAttn_FrOperIns_3,SAL,0.2862284150328876
154,7Networks_RH_SalVentAttn_FrOperIns_4,SAL,0.24360356160790936
155,7Networks_RH_SalVentAttn_Med_1,SAL,0.39232185125980473
156,7Networks_RH_SalVentAttn_Med_2,SAL,-0.3869695564219123
157,7Networks_RH_SalVentAttn_Med_3,SAL,-0.038211802817217345
158,7Networks_RH_Limbic_OFC_1,LIM,-0.012373369376635506
159,7Networks_RH_Limbic_OFC_2,LIM,0.42566864916893415
160,7Networks_RH_Limbic_OFC_3,LIM,0.40319543333062124
161,7Networks_RH_Limbic_TempPole_1,LIM,0.451277424893201
162,7Networks_RH_Limbic_TempPole_2,LIM,0.3324225769346789
163,7Networks_RH_Limbic_TempPole_3,LIM,0.7069788644311445
164,7Networks_RH_Cont_Par_1,FPN,-0.3206800374006925
165,7Networks_RH_Cont_Par_2,FPN,-0.5545989170728225
166,7Networks_RH_Cont_Par_3,FPN,-0.34790885412502415
167,7Networks_RH_Cont_Temp_1,FPN,0.327897095130316
168,7Networks_RH_Cont_PFCv_1,FPN,0.176121490484341
169,7Networks_RH_Cont_PFCl_1,FPN,0.21710396217290165
170,7Networks_RH_Cont_PFCl_2,FPN,-0.01874479865281137
171,7Networks_RH_Cont_PFCl_3,FPN,0.13537328124457026
172,7Networks_RH_Cont_PFCl_4,FPN,0.30480775278688926
173,7Networks_RH_Cont_PFCl_5,FPN,-0.018805601893306635
174,7Networks_RH_Cont_PFCl_6,FPN,0.01677929325330652
175,7Networks_RH_Cont_PFCl_7,FPN,-0.2741767154844099
176,7Networks_RH_Cont_pCun_1,FPN,0.18193135341475275
177,7Networks_RH_Cont_Cing_1,FPN,0.20823060668525747
178,7Networks_RH_Cont_Cing_2,FPN,1.2304844384897105
179,7Networks_RH_Cont_PFCmp_1,FPN,0.24366465995047557
180,7Networks_RH_Cont_PFCmp_2,FPN,-0.016765330597724924
181,7Networks_RH_Default_Par_1,DMN,0.3240810109595324
182,7Networks_RH_Default_Par_2,DMN,0.08042084185460945
183,7Networks_RH_Default_Par_3,DMN,-0.29846476939215916
184,7Networks_RH_Default_Temp_1,DMN,0.6753942459611638
185,7Networks_RH_Default_Temp_2,DMN,0.4666823384493733
186,7Networks_RH_Default_Temp_3,DMN,0.4344680377929795
187,7Networks_RH_Default_Temp_4,DMN,0.2782086902212205
188,7Networks_RH_Default_Temp_5,DMN,0.04403712682580598
189,7Networks_RH_Default_PFCv_1,DMN,0.24489301093515767
190,7Networks_RH_Default_PFCdPFCm_1,DMN,0.2129798831316311
191,7Networks_RH_Default_PFCdPFCm_2,DMN,0.39610405654411357
192,7Networks_RH_Default_PFCdPFCm_3,DMN,0.5401852491108052
